,Name,Location,Suberb,PostCode,Price Today,Price Tomorrow,Brand
18,Burk Bassendean,309 Guildford Rd,BASSENDEAN,6054,169.3,160.3,BURK
0,Burk Landsdale,274 Gnangara Rd,LANDSDALE,6065,165.3,161.3,BURK
17,Burk Alkimos,12 Longstaff Ave,ALKIMOS,6038,169.3,161.3,BURK
43,Metro Bassendean,2/335 Collier Rd,BASSENDEAN,6054,172.9,162.9,Metro
19,Burk Malaga,1 Harlond Ave,MALAGA,6090,169.3,163.3,BURK
48,Burk West Swan,6639 West Swan Rd,WEST SWAN,6055,173.3,163.3,BURK
12,Liberty Gosnells,2341 Albany Hwy,GOSNELLS,6110,168.5,164.5,Liberty
5,Metro Canning Vale,Lot 322 Ranford Rd,CANNING VALE,6155,166.9,164.7,Metro
102,Atlas Fuel Midvale,227 Morrison Rd,MIDVALE,6056,175.9,165.9,Atlas
104,Atlas Fuel Stratton,177 O'Connor Rd,STRATTON,6056,175.9,165.9,Atlas
3,Metro Wangara,79 Gnangara Road,WANGARA,6065,165.9,165.9,Metro
1,Atlas Fuel Ascot,472 Great Eastern Hwy,ASCOT,6104,165.9,165.9,Atlas
2,FastFuel 24/7,54 Cumberland Rd,FORRESTFIELD,6058,165.9,165.9,FastFuel
4,Vibe Ascot,268 Great Eastern Hwy,ASCOT,6104,166.3,166.3,Vibe
190,Caltex Maddington Truck Stop,18 Orchard Rd,MADDINGTON,6109,178.9,166.7,Caltex
323,BP Connect Beaumauris,2 Prendiville Ave,OCEAN REEF,6027,181.9,166.9,BP
71,BP Thornlie,459 Nicholson Rd,CANNING VALE,6155,174.9,166.9,BP
73,BP Embleton,484 Walter Rd East,EMBLETON,6062,174.9,166.9,BP
74,BP Jindalee,2 Abello Bvd,JINDALEE,6036,174.9,166.9,BP
75,BP Malaga,370 Victoria Rd,MALAGA,6090,174.9,166.9,BP
76,BP 2go Morrison Road,226 Morrison Rd,MIDVALE,6056,174.9,166.9,BP
371,BP 2go Woodvale,941 Whitfords Ave,WOODVALE,6026,182.9,166.9,BP
370,BP 2go Burrendah,69 Pinetree Gully Rd,WILLETTON,6155,182.9,166.9,BP
118,7-Eleven Booragoon,492 Marmion St,BOORAGOON,6154,176.9,166.9,7 Eleven
196,BP Connect North Perth,349 Charles St,NORTH PERTH,6006,178.9,166.9,BP
197,BP Connect Main Street,218 Main St,OSBORNE PARK,6017,178.9,166.9,BP
