Name,Location,Suberb,PostCode,Price Today,Price Tomorrow,Brand
Liberty Beckenham,63 William St,BECKENHAM,6107,125.9,125.9,Liberty
United East Victoria Park,916 Albany Hwy,EAST VICTORIA PARK,6101,131.5,131.5,United
Caltex Kelmscott,2907 Albany Hwy,KELMSCOTT,6111,131.5,131.5,Caltex
United Kewdale Truck Stop,410-412 Orrong Rd,KEWDALE,6105,131.5,131.5,United
Caltex Langford,230-234 Nicholson Rd,LANGFORD,6147,131.5,131.5,Caltex
United Perth Airport Truck Stop,Airport Dr (Cnr Paltridge Rd),PERTH AIRPORT,6105,131.5,131.5,United
Caltex Burswood,265 Great Eastern Hwy,BURSWOOD,6100,131.9,131.9,Caltex
BP Forrestfield,155 Hale Rd,FORRESTFIELD,6058,131.9,131.9,BP
S24 Redcliffe,419 Great Eastern Hwy,REDCLIFFE,6104,131.9,131.9,Shell
BP Morley,335 Walter Rd West,MORLEY,6062,132.9,132.9,BP
Caltex Kiara,157 Morley Dr,KIARA,6054,133.9,133.9,Caltex
S24 Sawyers Valley,96 Great Eastern Hwy,SAWYERS VALLEY,6074,133.9,133.9,Caltex
United Ellenbrook,3 Locke Lane,ELLENBROOK,6069,135.5,135.5,United
United Hamilton Hill,9 Winterfold Rd,HAMILTON HILL,6163,135.5,135.5,United
United Leda,2 Feilman Dr,LEDA,6170,135.5,135.5,United
United Lexia Truck Stop,779 Gnangara Rd,LEXIA,6065,135.5,135.5,United
United Myaree,182 Leach Hwy,MYAREE,6154,135.5,135.5,United
Caltex Naval Base,Cnr Rockingham Rd & Lee Rd,NAVAL BASE,6165,135.5,135.5,Caltex
United Northbridge,31 Fitzgerald St,NORTHBRIDGE,6003,135.5,135.5,United
United Osborne Park,479 Scarborough Beach Rd,OSBORNE PARK,6017,135.5,135.5,United
United Hepburn Heights,4 Walter Padbury Bvd,PADBURY,6025,135.5,135.5,United
United South Lake,49 Berrigan Dr,SOUTH LAKE,6164,135.5,135.5,United
Vibe Spearwood,333 Rockingham Rd,SPEARWOOD,6163,135.7,135.7,Vibe
Better Choice Bellevue,177-179 Great Eastern Hwy,BELLEVUE,6056,135.9,135.9,Better Choice
BP Woodbridge,380 Great Eastern Hwy,WOODBRIDGE,6056,135.9,135.9,BP
Caltex Alexander Heights,200 Mirrabooka Ave,ALEXANDER HEIGHTS,6064,137.9,137.9,Caltex
Better Choice Tuart Hill,150 Wanneroo Rd,TUART HILL,6060,137.9,137.9,Better Choice
Vibe Placid Ark Roadhouse,6947 South Western Hwy,COOLUP,6214,139.7,139.7,Vibe
BP Balcatta,53 Erindale Rd,BALCATTA,6021,139.9,139.9,BP
BP Beldon,261 Eddystone Ave,BELDON,6027,139.9,139.9,BP
BP Beeliar,701 Beeliar Dr,COCKBURN CENTRAL,6164,139.9,139.9,BP
BP Henley Brook,1520 Gnangara Rd,HENLEY BROOK,6055,139.9,139.9,BP
BP Mindarie,360 Anchorage Dr North,MINDARIE,6030,139.9,139.9,BP
EG Ampol Osborne Park,401 Scarborough Beach Rd,OSBORNE PARK,6017,139.9,139.9,EG Ampol
EG Ampol South Lake,752 North Lake Rd,SOUTH LAKE,6164,139.9,139.9,EG Ampol
EG Ampol Southern River,466 Warton Rd,SOUTHERN RIVER,6110,139.9,139.9,EG Ampol
Petro Fuels Karragullen,1287 Brookton Hwy,KARRAGULLEN,6111,149.9,149.9,Petro
EG Ampol Mandurah Forum,330 Pinjarra Rd,MANDURAH,6210,153.9,153.9,EG Ampol
EG Ampol Port Kennedy,12 Saltaire Way,PORT KENNEDY,6172,153.9,153.9,EG Ampol
EG Ampol Warnbro,202 Warnbro Sound Ave,WARNBRO,6169,153.9,153.9,EG Ampol
Better Choice Margaret River,211 Bussell Hwy,MARGARET RIVER,6285,159.5,159.5,Better Choice
Ampol Foodary Busselton,115 Strelly St,BUSSELTON,6280,159.9,159.9,Ampol
Ampol Foodary Carnarvon,595 Robinson St,KINGSFORD,6701,172.9,172.9,Ampol
BP Wubin,80-82 Great Northern Hwy,WUBIN,6612,239.9,239.9,BP
BP Attadale,530 Canning Hwy,ATTADALE,6156,,,BP
Ampol Foodary Bunbury,1 Forrest Ave,BUNBURY,6230,,,Ampol
Better Choice Karridale Roadhouse,12440 Bussell Hwy,KARRIDALE,6288,,159.5,Better Choice
Lori's Fuel Supply,259 Railway Ave,KELMSCOTT,6111,,146.9,Independent
Better Choice Malaga,3 Carson Rd,MALAGA,6090,,137.9,Better Choice
Narrogin Gasworx,22 Fairway St,NARROGIN,6312,,177.4,Independent
Astron Roleystone,11 Wygonda Rd,ROLEYSTONE,6111,,133.9,Astron
BOC Gas & Gear,287 Place Rd,WEBBERTON,6530,,187.4,
Ampol Foodary Forrest Highway North,Lot 602 Forrest Hwy,WEST PINJARRA,6208,,,Ampol
Ampol Foodary Forrest Highway South,Lot 601 Forrest Hwy,WEST PINJARRA,6208,,,Ampol
