,Name,Location,Suberb,PostCode,Price Today,Price Tomorrow,Brand
67,Burk Bassendean,309 Guildford Rd,BASSENDEAN,6054,159.3,150.3,BURK
129,Burk Mount Lawley,791 Beaufort St,MOUNT LAWLEY,6050,161.3,150.3,BURK
0,Costco Perth Airport,142 Dunreath Dr,PERTH AIRPORT,6105,150.7,150.7,Costco
78,Atlas Fuel Midvale,227 Morrison Rd,MIDVALE,6056,159.5,150.7,Atlas
210,Metro Bassendean,2/335 Collier Rd,BASSENDEAN,6054,162.9,150.9,Metro
63,Ampol Foodary Stratton,240 Toodyay Rd,STRATTON,6056,158.9,150.9,Ampol
508,Ampol Foodary Mt Lawley,810 Beaufort St,MOUNT LAWLEY,6050,170.9,150.9,Ampol
1,Vibe Ascot,268 Great Eastern Hwy,ASCOT,6104,151.3,151.3,Vibe
66,Burk Alkimos,12 Longstaff Ave,ALKIMOS,6038,159.3,151.3,BURK
68,Burk Camillo,Cnr Westfield Rd & Ypres Rd,CAMILLO,6111,159.3,151.3,BURK
25,Burk Landsdale,274 Gnangara Rd,LANDSDALE,6065,155.3,151.3,BURK
2,Atlas Fuel Ascot,472 Great Eastern Hwy,ASCOT,6104,151.5,151.5,Atlas
27,Liberty Gosnells,2341 Albany Hwy,GOSNELLS,6110,155.5,151.5,Liberty
123,7-Eleven Wanneroo South,929-931 Wanneroo Rd,WANNEROO,6065,159.9,151.7,7 Eleven
258,Caltex Maddington Truck Stop,18 Orchard Rd,MADDINGTON,6109,163.9,151.7,Caltex
4,Vibe Wanneroo,964 Wanneroo Rd,WANNEROO,6065,151.7,151.7,Vibe
82,Atlas Fuel Stratton,177 O'Connor Rd,STRATTON,6056,159.5,151.8,Atlas
320,BP Connect Carlisle,44 Archer St,CARLISLE,6101,165.9,151.9,BP
269,BP Connect Main Street,218 Main St,OSBORNE PARK,6017,163.9,151.9,BP
169,Ampol Foodary Doubleview,365 Scarborough Beach Rd,DOUBLEVIEW,6018,161.9,151.9,Ampol
442,BP Westgate,85 Queen Victoria St,FREMANTLE,6160,167.9,151.9,BP
440,BP 2go Cannington,1443 Albany Hwy,CANNINGTON,6107,167.9,151.9,BP
114,BP Malaga,370 Victoria Rd,MALAGA,6090,159.9,151.9,BP
266,BP Connect North Perth,349 Charles St,NORTH PERTH,6006,163.9,151.9,BP
430,BP Connect Beaumauris,2 Prendiville Ave,OCEAN REEF,6027,166.9,151.9,BP
111,BP Jindalee,2 Abello Bvd,JINDALEE,6036,159.9,151.9,BP
424,BP Ellenbrook,180 The Promenade,ELLENBROOK,6069,166.9,151.9,BP
378,BP Connect Myaree,246 Leach Hwy,MYAREE,6154,165.9,151.9,BP
108,BP Embleton,484 Walter Rd East,EMBLETON,6062,159.9,151.9,BP
116,BP 2go Morrison Road,226 Morrison Rd,MIDVALE,6056,159.9,151.9,BP
104,BP Thornlie,459 Nicholson Rd,CANNING VALE,6155,159.9,151.9,BP
158,7-Eleven Booragoon,492 Marmion St,BOORAGOON,6154,161.9,151.9,7 Eleven
103,BP Canning Vale OPT,13 Bannister Rd,CANNING VALE,6155,159.9,151.9,BP
420,Ampol Foodary Northlands,391 Wanneroo Rd,BALCATTA,6021,166.9,151.9,Ampol
419,BP Applecross,848 Canning Hwy,APPLECROSS,6153,166.9,151.9,BP
120,Atlas Fuel Sawyers Valley,10895 Great Eastern Hwy,SAWYERS VALLEY,6074,159.9,151.9,Atlas
456,BP Connect Riverton,339 High Rd,RIVERTON,6148,167.9,151.9,BP
408,BP 2go Collins Road,121 Collins Rd,WILLETTON,6155,165.9,151.9,BP
396,BP The Lakes Roadhouse,13724 Great Eastern Hwy,THE LAKES,6556,165.9,151.9,BP
323,BP Clarkson,28K Caloundra Rd,CLARKSON,6030,165.9,151.9,BP
393,BP Singleton,2514 Mandurah Rd,SINGLETON,6175,165.9,151.9,BP
121,EG Ampol South Lake,752 North Lake Rd,SOUTH LAKE,6164,159.9,151.9,EG Ampol
457,BP South Fremantle,229B Hampton Rd,SOUTH FREMANTLE,6162,167.9,151.9,BP
113,EG Ampol Maddington West,207 Burslem Dr,MADDINGTON,6109,159.9,151.9,EG Ampol
274,BP Connect West Coast,11 Scarborough Beach Rd,SCARBOROUGH,6019,163.9,151.9,BP
464,BP Connect Wembley,240 Cambridge St,WEMBLEY,6014,167.9,151.9,BP
5,Atlas Fuel Wanneroo,951 Wanneroo Rd,WANNEROO,6065,151.9,151.9,Atlas
14,Ampol Foodary Gosnells North,2100 Albany Hwy,GOSNELLS,6110,154.9,151.9,Ampol
275,BP Sorrento,128 West Coast Dr,SORRENTO,6020,163.9,151.9,BP
468,BP 2go Woodvale,941 Whitfords Ave,WOODVALE,6026,167.9,151.9,BP
176,Ampol Foodary Glendalough,2 Jon Sanders Dr,GLENDALOUGH,6016,161.9,151.9,Ampol
177,EG Ampol Greenwood,37 Canham Way,GREENWOOD,6024,161.9,151.9,EG Ampol
197,Ampol Foodary South Lake,2 Omeo St,SOUTH LAKE,6164,161.9,151.9,Ampol
466,BP 2go Burrendah,69 Pinetree Gully Rd,WILLETTON,6155,167.9,151.9,BP
217,Caltex Kwinana Truck Stop,4 Ocean St,KWINANA BEACH,6167,163.7,152.5,Caltex
117,Vibe Morley,430 Morley Dr,MORLEY,6062,159.9,152.7,Vibe
35,Vibe Canning Vale,6 Birnam Rd,CANNING VALE,6155,156.3,152.7,Vibe
238,Caltex Edgewater,2 The Gateway,EDGEWATER,6027,163.9,152.7,Caltex
73,Vibe Osborne Park,7 Hutton St,OSBORNE PARK,6017,159.3,152.7,Vibe
47,Vibe Nollamara,66 Sylvia St,NOLLAMARA,6061,157.7,152.7,Vibe
147,Vibe Subiaco,123 Thomas St,SUBIACO,6008,161.7,152.7,Vibe
38,Vibe Welshpool,124 Welshpool Rd,WELSHPOOL,6106,156.7,152.7,Vibe
224,BP Connect Ascot (WA),210 Great Eastern Hwy,ASCOT,6104,163.9,152.9,BP
191,Shell Reddy Express Mount Lawley,253 Walcott St,NORTH PERTH,6006,161.9,152.9,
228,7-Eleven Bassendean,302-318 Collier Rd,BASSENDEAN,6054,163.9,152.9,7 Eleven
356,Shell Reddy Express Leeming,29/51 Farrington St,LEEMING,6149,165.9,152.9,
337,BP Halls Head,2 Guava Way,HALLS HEAD,6210,165.9,152.9,BP
192,Shell Reddy Express Osborne Park,11 Roberts St West,OSBORNE PARK,6017,161.9,152.9,
230,Shell Reddy Express Bentley,1128 Albany Hwy,BENTLEY,6102,163.9,152.9,
231,Shell Reddy Express Bicton,394 Canning Hwy,BICTON,6157,163.9,152.9,
175,Shell Reddy Express Girrawheen,60 Marangaroo Dr,GIRRAWHEEN,6064,161.9,152.9,
193,Shell Reddy Express Palmyra,80 Carrington St,PALMYRA,6157,161.9,152.9,
329,Shell Reddy Express Victoria Park,66 Kent St,EAST VICTORIA PARK,6101,165.9,152.9,
205,Shell Reddy Express Willetton,239-247 High Rd,WILLETTON,6155,161.9,152.9,
190,Shell Reddy Express Myaree,69 North Lake Rd,MYAREE,6154,161.9,152.9,
196,Shell Reddy Express Scarborough,205 West Coast Hwy,SCARBOROUGH,6019,161.9,152.9,
198,7-Eleven Southern River,481 Balfour St,SOUTHERN RIVER,6110,161.9,152.9,7 Eleven
199,EG Ampol Southern River,466 Warton Rd,SOUTHERN RIVER,6110,161.9,152.9,EG Ampol
235,Shell Reddy Express Cloverdale,223 Belmont Ave,CLOVERDALE,6105,163.9,152.9,
200,Shell Reddy Express Southern River,216 Lakey St,SOUTHERN RIVER,6110,161.9,152.9,
201,Shell Reddy Express Waikiki,1-9 Gnangara Dr,WAIKIKI,6169,161.9,152.9,
202,Shell Coles Express Wanneroo Pearsall,621 Wanneroo Rd,WANNEROO,6065,161.9,152.9,Coles Express
126,Ampol Foodary Scarborough,74 Scarborough Beach Rd,SCARBOROUGH,6019,160.9,152.9,Ampol
348,Shell Reddy Express Kewdale,518 Abernethy Rd,KEWDALE,6105,165.9,152.9,
185,Shell Reddy Express Malaga,492 Alexander Dr,MALAGA,6090,161.9,152.9,
